catalogNo,Island,genetic_ID,Sex,Prep,total_length,tail_length,hindfoot,ear_from_notch,immature,pregnant,MamCollector,MamPreparator,LocPreciseLocation,,MamDateCollDate,Month,Day,Year
327,SCZ,NA,F,SS,160,87,22,,,,"Hornung, J","Hornung, J",Santa Cruz Id,,11/27/1917,11,27,1917
328,SCZ,NA,F,SS,163,84,22,,,,"Hornung, J","Hornung, J",Santa Cruz Id,,11/28/1917,11,28,1917
329,SCZ,NA,M,SS,145,86,22,,,,"Hornung, J","Hornung, J",Santa Cruz Id,,11/29/1917,11,29,1917
330,SCZ,NA,M,SS,163,78.5,21,,,,"Hornung, J","Hornung, J",Santa Cruz Id,,11/28/1917,11,28,1917
331,SCZ,NA,F,SS,143,82,21,,,,"Hornung, J","Hornung, J",Santa Cruz Id,,12/1/1917,12,1,1917
332,SCZ,NA,F,SS,172,85,23,,,,"Hornung, J","Hornung, J",Santa Cruz Id,,11/30/1917,11,30,1917
333,SCZ,NA,M,SS,144,74,20,,TRUE,,"Hornung, J","Hornung, J",Santa Cruz Id,,11/30/1917,11,30,1917
458,SCZ,NA,M,SS,161,78,22,,,,"Hornung, J","Hornung, J",Santa Cruz Id,,11/28/1918,11,28,1918
472,SBI,NA,F,SS,170,83,20,,,,"Wyman, L E","Hornung, J",Santa Barbara Id,,7/31/1919,7,31,1919
473,SBI,NA,M,SS,179,82,23,,,,"Wyman, L E","Hornung, J",Santa Barbara Id,,7/31/1919,7,31,1919
474,SBI,NA,F,SS,173,80,22.5,,,,"Wyman, L E","Hornung, J",Santa Barbara Id,,7/31/1919,7,31,1919
475,SBI,NA,M,SS,152,67,20,,,,"Wyman, L E","Hornung, J",Santa Barbara Id,,7/31/1919,7,31,1919
728,SNI,NA,M,SS,174,79,20,,,,"Grinnell, J","Grinnell, J",San Nicolas Id,,05/23/1897,5,23,1897
730,SNI,NA,M,SS,175,83,21,,,,"Grinnell, J","Grinnell, J",San Nicolas Id,,05/22/1897,5,22,1897
731,SNI,NA,F,SS,175,80,21,,,,"Grinnell, J","Grinnell, J",San Nicolas Island,,05/23/1897,5,23,1897
732,SCL,NA,M,SS,77,38,13,16,,,"Grinnell, J","Grinnell, J",San Clemente Id,,06/01/1897,6,1,1897
733,SCL,NA,F,SS,156,71,,,,,"Grinnell, J","Grinnell, J",San Clemente Id,,05/29/1897,5,29,1897
734,SBI,NA,F,SS,173,77,22,,,,"Grinnell, J","Grinnell, J",Santa Barbara Id,,05/17/1897,5,17,1897
735,SBI,NA,M,SS,161,68,21,,,,"Gaylord, H A","Gaylord, H A",Santa Barbara Id,,05/17/1897,5,17,1897
807,SCZ,NA,M,SS,173,82,22,,,,"Hornung, J","Hornung, J",Santa Cruz Id,,4/22/1914,4,22,1914
808,SCZ,NA,,SS,145,73,20,,TRUE,,"Hornung, J","Hornung, J",Santa Cruz Id,,4/19/1914,4,19,1914
814,SCL,NA,F,SS,161,67,20,15,,,"Howell, A B","Howell, A B",San Clemente Id,,4/3/1915,4,3,1915
818,SCZ,NA,F,SS,176,88,22.5,,,,"Hornung, J","Hornung, J",Santa Cruz Id,,4/25/1914,4,25,1914
1954,SMI,NA,F,SS,170,80,20,,,,"Willett, G","Willett, G",San Miguel Id,,9/20/1930,9,20,1930
1955,SMI,NA,,SS,160,70,20,,,,"Willett, G","Willett, G",San Miguel Id,,9/20/1930,9,20,1930
5803,SCL,NA,F,SS,165,72,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/2/1939,4,2,1939
5804,SCL,NA,F,SS,167,74,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/2/1939,4,2,1939
5805,SCL,NA,F,SS,166,73,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/2/1939,4,2,1939
5806,SCL,NA,F,SS,168,75,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/2/1939,4,2,1939
5807,SCL,NA,F,SS,170,70,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/2/1939,4,2,1939
5808,SCL,NA,F,SS,169,68,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/2/1939,4,2,1939
5809,SCL,manic,M,SS,169,74,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/2/1939,4,2,1939
5810,SCL,NA,M,SS,167,73,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/2/1939,4,2,1939
5811,SCL,NA,M,SS,168,74,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/2/1939,4,2,1939
5812,SCL,NA,M,SS,167,72,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/2/1939,4,2,1939
5813,SCL,NA,M,SS,165,73,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/2/1939,4,2,1939
5814,SCL,NA,M,SS,166,73,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/3/1939,4,3,1939
5815,SCL,NA,M,SS,167,74,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/2/1939,4,2,1939
