locality,x,y,n,genetic_species
Pyramid Cove; San Clemente Id; Pyramid Cove,-118.389081,32.825349,25,gambelii
San Clemente Island; San Clemente Id; Big Dog Mesa,-118.418746,32.807412,28,NA
"San Clemente Island; San Clemente Id; Big Dog Mesa, W Pyramid Cove",-118.418746,32.807412,6,NA
San Clemente Island; San Clemente Id; China Canyon,-118.425704,32.8209,21,NA
San Clemente Island; San Clemente Id; China Creek Basin,-118.432311,32.814757,9,NA
San Clemente Island; San Clemente Id; China Point,-118.425278,32.801667,40,gambelii
San Clemente Island; San Clemente Id; Chinetti Canyon,-118.39835,32.833467,12,truei
San Clemente Island; San Clemente Id; Horse Beach,-118.415,32.811667,48,NA
San Clemente Island; San Clemente Id; Horse Beach Canyon,-118.417255,32.821737,20,NA
San Clemente Island; San Clemente Id; Horse Beach Cove,-118.415,32.811667,7,NA
San Clemente Island; San Clemente Id; Horse Beach Mesa,-118.410613,32.811564,4,NA
San Clemente Island; San Clemente Id; Horse Beach Point,-118.417522,32.807436,5,NA
San Clemente Island; San Clemente Id; Middle Ranch,-118.483493,32.888242,4,gambelii
San Clemente Island; San Clemente Id; Middle Ranch Canyon,-118.494739,32.872891,48,NA
"San Clemente Island; San Clemente Id; Middle Ranch Canyon, mouth",-118.504373,32.865762,2,NA
San Clemente Island; San Clemente Id; Zilch Islet,-118.430875,32.803768,4,NA
Wilson's Cove; San Clemente Id; Wilson's Cove,-118.555556,33.004722,1,gambelii
